filename,video-duration,fps,video-frames
undercover-left_videos_20230317_080845.mp4,60.0,30.0,1800
undercover-left_videos_20230317_090546.mp4,61.0,30.0,1830
undercover-left_videos_20230317_104648.mp4,60.0,30.0,1800
undercover-left_videos_20230317_094247.mp4,60.0,30.0,1800
undercover-left_videos_20230322_162547.mp4,61.0,30.0,1830
undercover-left_videos_20230322_164848.mp4,60.0,30.0,1800
undercover-left_videos_20230322_132846.mp4,60.0,30.0,1800
undercover-left_videos_20230322_185749.mp4,60.0,30.0,1800
undercover-left_videos_20230322_071644.mp4,60.0,30.0,1800
undercover-left_videos_20220613_170917.mp4,60.0,30.0,1800
undercover-left_videos_20220613_171350.mp4,60.0,30.0,1800
undercover-left_videos_20220613_101028.mp4,60.0,30.0,1800
undercover-left_videos_20220613_175758.mp4,60.0,30.0,1800
undercover-left_videos_20220613_135724.mp4,60.0,30.0,1800
undercover-left_videos_20220613_150628.mp4,60.0,30.0,1800
undercover-left_videos_20220613_125410.mp4,60.0,30.0,1800
undercover-left_videos_20220613_140733.mp4,60.0,30.0,1800
undercover-left_videos_20220613_091033.mp4,60.0,30.0,1800
undercover-left_videos_20220613_093400.mp4,60.0,30.0,1800
undercover-left_videos_20220613_095807.mp4,60.0,30.0,1800
undercover-left_videos_20230417_221118.mp4,60.0,30.0,1800
undercover-left_videos_20230417_182849.mp4,60.0,30.0,1800
undercover-left_videos_20230417_191856.mp4,61.0,30.0,1830
undercover-left_videos_20230417_175945.mp4,61.0,30.0,1830
undercover-left_videos_20230417_125519.mp4,60.0,30.0,1800
undercover-left_videos_20230417_101701.mp4,60.0,30.0,1800
undercover-left_videos_20230417_071823.mp4,60.0,30.0,1800
undercover-left_videos_20230417_074726.mp4,60.0,30.0,1800
undercover-left_videos_20220727_144233.mp4,119.0,30.0,3570
undercover-left_videos_20220727_083824.mp4,112.0,30.0,3360
undercover-left_videos_20220727_074358.mp4,112.0,30.0,3360
undercover-left_videos_20220727_130719.mp4,115.0,30.0,3450
undercover-left_videos_20220727_080438.mp4,112.0,30.0,3360
undercover-left_videos_20220727_162454.mp4,119.0,30.0,3570
undercover-left_videos_20220727_084940.mp4,112.0,30.0,3360
undercover-left_videos_20220727_151552.mp4,120.0,30.0,3600
undercover-left_videos_20220727_075132.mp4,113.0,30.0,3390
undercover-left_videos_20220727_124037.mp4,118.0,30.0,3540
undercover-left_videos_20220727_064739.mp4,112.0,30.0,3360
undercover-left_videos_20220727_000831.mp4,88.0,30.0,2640
undercover-left_videos_20220727_065124.mp4,112.0,30.0,3360
undercover-left_videos_20220727_072124.mp4,113.0,30.0,3390
undercover-left_videos_20220525_171922.mp4,60.0,30.0,1800
undercover-left_videos_20220525_130053.mp4,60.0,30.0,1800
undercover-left_videos_20220525_133710.mp4,60.0,30.0,1800
undercover-left_videos_20220525_154324.mp4,60.0,30.0,1800
undercover-left_videos_20220525_101353.mp4,60.0,30.0,1800
undercover-left_videos_20220525_135320.mp4,60.0,30.0,1800
undercover-left_videos_20220525_102617.mp4,60.0,30.0,1800
undercover-left_videos_20220525_102511.mp4,60.0,30.0,1800
undercover-left_videos_20220525_121815.mp4,60.0,30.0,1800
undercover-left_videos_20220525_123836.mp4,60.0,30.0,1800
undercover-left_videos_20220608_111053.mp4,60.0,30.0,1800
undercover-left_videos_20220608_094335.mp4,60.0,30.0,1800
undercover-left_videos_20220608_085414.mp4,60.0,30.0,1800
undercover-left_videos_20220608_091837.mp4,60.0,30.0,1800
undercover-left_videos_20220608_091041.mp4,60.0,30.0,1800
undercover-left_videos_20220608_101223.mp4,60.0,30.0,1800
undercover-left_videos_20220608_175044.mp4,60.0,30.0,1800
undercover-left_videos_20220608_181014.mp4,60.0,30.0,1800
undercover-left_videos_20220608_174723.mp4,60.0,30.0,1800
undercover-left_videos_20220608_123653.mp4,60.0,30.0,1800
undercover-left_videos_20220608_112117.mp4,60.0,30.0,1800
undercover-left_videos_20220517_100809.mp4,60.0,30.0,1800
undercover-left_videos_20220517_135758.mp4,60.0,30.0,1800
undercover-left_videos_20220517_102323.mp4,60.0,30.0,1800
undercover-left_videos_20220517_131656.mp4,60.0,30.0,1800
undercover-left_videos_20220517_133706.mp4,60.0,30.0,1800
undercover-left_videos_20220517_101235.mp4,60.0,30.0,1800
undercover-left_videos_20220517_101445.mp4,60.0,30.0,1800
undercover-left_videos_20220517_142716.mp4,60.0,30.0,1800
undercover-left_videos_20220517_083619.mp4,60.0,30.0,1800
undercover-left_videos_20220517_135649.mp4,60.0,30.0,1800
undercover-left_videos_20220517_084046.mp4,60.0,30.0,1800
undercover-left_videos_20220517_083509.mp4,60.0,30.0,1800
undercover-left_videos_20220517_133240.mp4,60.0,30.0,1800
undercover-left_videos_20220517_101552.mp4,60.0,30.0,1800
undercover-left_videos_20220517_083936.mp4,60.0,30.0,1800
undercover-left_videos_20230410_103805.mp4,60.0,30.0,1800
undercover-left_videos_20230410_081102.mp4,60.0,30.0,1800
undercover-left_videos_20230410_183619.mp4,60.0,30.0,1800
undercover-left_videos_20230410_084303.mp4,60.0,30.0,1800
undercover-left_videos_20230410_181318.mp4,60.0,30.0,1800
undercover-left_videos_20230321_202738.mp4,60.0,30.0,1800
undercover-left_videos_20230321_012431.mp4,60.0,30.0,1800
undercover-left_videos_20230321_024131.mp4,60.0,30.0,1800
undercover-left_videos_20230321_111635.mp4,60.0,30.0,1800
undercover-left_videos_20230321_010230.mp4,60.0,30.0,1800
undercover-left_videos_20230321_220840.mp4,60.0,30.0,1800
undercover-left_videos_20230321_154937.mp4,60.0,30.0,1800
undercover-left_videos_20230321_194938.mp4,60.0,30.0,1800
undercover-left_videos_20230323_164910.mp4,60.0,30.0,1800
undercover-left_videos_20230323_151509.mp4,60.0,30.0,1800
undercover-left_videos_20220606_172001.mp4,60.0,30.0,1800
undercover-left_videos_20220606_160251.mp4,60.0,30.0,1800
undercover-left_videos_20220606_121840.mp4,60.0,30.0,1800
undercover-left_videos_20220606_155711.mp4,60.0,30.0,1800
undercover-left_videos_20220606_100544.mp4,60.0,30.0,1800
undercover-left_videos_20220606_093514.mp4,60.0,30.0,1800
undercover-left_videos_20220606_140839.mp4,60.0,30.0,1800
